Symbol,Sample Time,Open,High,Low,Close,Volume,HighShort,LowLong,LowShort
NQ=F,1/10/2019 5:00,6597.25,6641.75,6527.5,6625.25,496364,,,
NQ=F,1/11/2019 5:00,6622.5,6632.5,6572,6612.75,364787,,,
NQ=F,1/14/2019 5:00,6599,6602.5,6521.5,6545,364990,,,
NQ=F,1/15/2019 5:00,6543,6689,6542.25,6676.75,492324,,,
NQ=F,1/16/2019 5:00,6674.5,6737.25,6664,6666.25,443742,,,
NQ=F,1/17/2019 5:00,6670,6760,6612.25,6720,472761,,,
NQ=F,1/18/2019 5:00,6722.75,6828.25,6712,6792.75,499881,,,
NQ=F,1/22/2019 5:00,6794.5,6794.5,6611.5,6653,651258,,,
NQ=F,1/23/2019 5:00,6652,6724.25,6592.25,6665.25,515044,,,
NQ=F,1/24/2019 5:00,6663,6718.5,6653,6675,449017,,,
NQ=F,1/25/2019 5:00,6684.5,6810.5,6676.75,6791.25,446822,,,
NQ=F,1/28/2019 5:00,6784.25,6791,6648.25,6701.75,490045,,,
NQ=F,1/29/2019 5:00,6695.25,6721,6616.75,6638.75,441622,,,
NQ=F,1/30/2019 5:00,6690.25,6845.25,6657.75,6837.25,526133,,,
NQ=F,1/31/2019 5:00,6844.25,6943,6839.25,6914.75,557023,,,
NQ=F,2/1/2019 5:00,6911,6927.5,6860.5,6877.75,461403,,,
NQ=F,2/4/2019 5:00,6863.75,6983,6858.25,6937.5,353660,,,
NQ=F,2/5/2019 5:00,6937.5,7033.75,6928.25,7008,369764,,,
NQ=F,2/6/2019 5:00,7009.25,7038.75,6972.25,6995.75,376560,,,
NQ=F,2/7/2019 5:00,6988,6994.75,6856.25,6905.5,595400,,,
NQ=F,2/8/2019 5:00,6902,6926.25,6841,6916.75,464342,,,
NQ=F,2/11/2019 5:00,6921.75,6969.5,6896.25,6914.25,384589,,,
NQ=F,2/12/2019 5:00,6908.5,7028.5,6903,7018.5,363950,,,
NQ=F,2/13/2019 5:00,7017.25,7069.75,7012,7016.25,359971,,,
NQ=F,2/14/2019 5:00,7017.25,7057.5,6972,7019.75,490159,,,
NQ=F,2/15/2019 5:00,7017.5,7095.25,6975.25,7063.75,430944,,,
NQ=F,2/19/2019 5:00,7063.75,7094.75,7035.25,7068.25,386613,,,
NQ=F,2/20/2019 5:00,7068.75,7105,7032.25,7073.25,418267,,,
NQ=F,2/21/2019 5:00,7070.75,7113.75,7005,7034.5,432866,,,
NQ=F,2/22/2019 5:00,7031.25,7101.25,7019.25,7088.25,367501,,,
NQ=F,2/25/2019 5:00,7108.5,7168.5,7102,7125.75,346624,,,
NQ=F,2/26/2019 5:00,7122,7151,7073.25,7117.75,362741,,,
NQ=F,2/27/2019 5:00,7109.25,7131.75,7048,7121.75,367938,,,
NQ=F,2/28/2019 5:00,7121.25,7130.75,7072.5,7102.5,360883,,,
NQ=F,3/1/2019 5:00,7106.5,7164.5,7098.25,7156,383198,,,
NQ=F,3/4/2019 5:00,7177,7211.5,7074.5,7145.75,556660,,,
NQ=F,3/5/2019 5:00,7144.5,7182,7124.25,7165.5,364928,,,
NQ=F,3/6/2019 5:00,7156,7171.25,7107,7111.25,444302,,,
NQ=F,3/7/2019 5:00,7109,7123.25,7003.25,7027.5,556540,,,
NQ=F,3/8/2019 5:00,7025.5,7034,6939,7026.75,312130,,,
NQ=F,3/11/2019 4:00,7022.25,7176.75,6997.5,7164.75,203726,,,
NQ=F,3/12/2019 4:00,7176,7223,7163.25,7206.5,167990,,,
NQ=F,3/13/2019 4:00,7209.25,7295.5,7183.75,7267.75,127111,,,
NQ=F,3/14/2019 4:00,7273.25,7293.5,7237.75,7239.75,82276,,,
NQ=F,3/15/2019 4:00,7245.75,7288,7243,7270.350098,412124,,,
